"","Item name","Number for sale","Price of item (cents)","Price of item (conventional format)","Name of Game"
"303","Strange Red-Tape Recorder",391,20,"$0.20","Team Fortress 2"
"304","Strange Cloak and Dagger",48,109,"$1.09","Team Fortress 2"
"305","Strange Specialized Killstreak Lightning Rod Shotgun (Well-Worn)",4,409,"$4.09","Team Fortress 2"
"306","Gun Mettle Cosmetic Case",601,27,"$0.27","Team Fortress 2"
"307","Sheriff's Stetson",21,249,"$2.49","Team Fortress 2"
"308","Killstreak Current Event Scattergun (Field-Tested)",12,247,"$2.47","Team Fortress 2"
"309","Strange Killstreak Lightning Rod Shotgun (Minimal Wear)",6,245,"$2.45","Team Fortress 2"
"310","Spark of Life Medi Gun (Battle Scarred)",18,18,"$0.18","Team Fortress 2"
"311","Strange Turbine Torcher Flame Thrower (Minimal Wear)",12,95,"$0.95","Team Fortress 2"
"312","Woodland Warrior Rocket Launcher (Well-Worn)",42,18,"$0.18","Team Fortress 2"
"313","Strange Night Owl Sniper Rifle (Battle Scarred)",9,269,"$2.69","Team Fortress 2"
"314","The Powerhouse Weapons Case",422,10,"$0.10","Team Fortress 2"
"315","Woodsy Widowmaker SMG (Field-Tested)",109,18,"$0.18","Team Fortress 2"
"316","Night Owl Sniper Rifle (Battle Scarred)",54,18,"$0.18","Team Fortress 2"
"317","Night Owl Sniper Rifle (Field-Tested)",164,19,"$0.19","Team Fortress 2"
"318","Brick House Minigun (Field-Tested)",102,18,"$0.18","Team Fortress 2"
"319","Night Terror Scattergun (Field-Tested)",77,21,"$0.21","Team Fortress 2"
"320","Forest Fire Flame Thrower (Well-Worn)",72,18,"$0.18","Team Fortress 2"
"321","Brick House Minigun (Factory New)",40,18,"$0.18","Team Fortress 2"
"322","Night Terror Scattergun (Minimal Wear)",37,43,"$0.43","Team Fortress 2"
"323","Civic Duty Shotgun (Field-Tested)",171,9,"$0.09","Team Fortress 2"
"324","Wrapped Reviver Medi Gun (Field-Tested)",61,18,"$0.18","Team Fortress 2"
"325","B'aaarrgh-n-Britches",84,25,"$0.25","Team Fortress 2"
"326","Professional Killstreak Batsaber Kit",19,630,"$6.30","Team Fortress 2"
"327","Specialized Killstreak C.A.P.P.E.R Kit",16,248,"$2.48","Team Fortress 2"
"328","The Hellmet",170,28,"$0.28","Team Fortress 2"
"329","B'aaarrgh-n-Bicorne",36,35,"$0.35","Team Fortress 2"
"330","El Patron",86,39,"$0.39","Team Fortress 2"
"331","Tough Break Cosmetic Case",34688,3,"$0.03","Team Fortress 2"
"332","Warbird Weapons Case",323,34,"$0.34","Team Fortress 2"
"333","Tough Break Key",54,276,"$2.76","Team Fortress 2"
"334","Nutcracker Scattergun (Minimal Wear)",32,24,"$0.24","Team Fortress 2"
"335","Coffin Nail Sniper Rifle (Field-Tested)",119,10,"$0.10","Team Fortress 2"
"336","Mister Cuddles Minigun (Minimal Wear)",5,88,"$0.88","Team Fortress 2"
"337","Blue Mew Rocket Launcher (Well-Worn)",20,18,"$0.18","Team Fortress 2"
"338","Flower Power Shotgun (Minimal Wear)",11,20,"$0.20","Team Fortress 2"
"339","Brain Candy Pistol (Well-Worn)",23,19,"$0.19","Team Fortress 2"
"340","Nutcracker Pistol (Field-Tested)",113,10,"$0.10","Team Fortress 2"
"341","Macabre Web Scattergun (Field-Tested)",29,24,"$0.24","Team Fortress 2"
"342","Coffin Nail Scattergun (Field-Tested)",47,18,"$0.18","Team Fortress 2"
"343","Butcher Bird Grenade Launcher (Field-Tested)",86,19,"$0.19","Team Fortress 2"
"344","Blitzkrieg Pistol (Field-Tested)",35,18,"$0.18","Team Fortress 2"
"345","Universal Translator",274,23,"$0.23","Team Fortress 2"
"346","Captain Space Mann",139,51,"$0.51","Team Fortress 2"
"347","Strange Phobos Filter",31,66,"$0.66","Team Fortress 2"
"348","Strange A Head Full of Hot Air",58,62,"$0.62","Team Fortress 2"
"349","Strange Killstreak Black Dahlia Pistol (Factory New)",1,2755,"$27.55","Team Fortress 2"
"350","Invasion Community Update Key",36,276,"$2.76","Team Fortress 2"
"351","The Giger Counter",31,437,"$4.37","Team Fortress 2"
"352","Strange Commissar's Coat",21,213,"$2.13","Team Fortress 2"
"353","Strange Lurker's Leathers",48,126,"$1.26","Team Fortress 2"
"354","The Vascular Vestment",114,40,"$0.40","Team Fortress 2"
"355","El Duderino",21,290,"$2.90","Team Fortress 2"
"356","Strange Thrilling Tracksuit",20,198,"$1.98","Team Fortress 2"
"357","Specialized Killstreak C.A.P.P.E.R Kit Fabricator",70,7,"$0.07","Team Fortress 2"
"358","Strange Graylien",42,66,"$0.66","Team Fortress 2"
"359","Phononaut",102,57,"$0.57","Team Fortress 2"
"360","Genuine Criminal Cloak",132,54,"$0.54","Team Fortress 2"
"361","Strange Battalion's Backup",47,31,"$0.31","Team Fortress 2"
"362","Strange Hitman's Heatmaker",132,69,"$0.69","Team Fortress 2"
"363","Strange Eviction Notice",122,21,"$0.21","Team Fortress 2"
"364","Strange Beggar's Bazooka",143,31,"$0.31","Team Fortress 2"
"365","Strange Soda Popper",81,133,"$1.33","Team Fortress 2"
"366","Strange Bushwacka",89,49,"$0.49","Team Fortress 2"
"367","Strange Killing Gloves of Boxing",90,32,"$0.32","Team Fortress 2"
